id,telegram_link,text_html,link_1,link_2,link_3,link_4,link_5,link_6,link_7,link_8,link_9,photo_path_1,photo_path_2,photo_path_3,photo_path_4,photo_path_5,photo_path_6,photo_path_7,photo_path_8,photo_path_9,photo_path_10,video_path_1,video_path_2,video_path_3,video_path_4,video_path_5,hashtag_1,hashtag_2,hashtag_3,hashtag_4,hashtag_5,hashtag_6,title_2gis,rating_2gis,average_check_2gis
396,https://t.me/vkusnypiter/396,"<strong>Вкус искусства</strong> – место, где можно попробовать искусство на вкус 🧁<br/><br/>А ещё это арт-кафе и новое городское пространство, где современное искусство соединяется с эстетикой вкуса. Заведение специализируется на авторских десертах по мотивам шедевров знаменитых художников и европейской кухне.<br/><br/>Например, в меню можно найти пирожные «Поцелуй» Сальвадора Дали (270₽) или «Доллар» Энди Уорхола (280₽) - эти кондитерские шедевры не оставят равнодушными ни ценителей эстетики и высокого искусства, ни любителей сладкого. <br/><br/>Целый день в кафе подают завтраки (гранола с орехами, йогуртом и вареньем, сырники и яйцо бенедикт), сытные салаты (салат с ростбифом), нежные крем-супы и пасты собственного приготовления.<br/><br/>Для подписчиков канала действует 10% скидка по промокоду <strong>Вкусный Питер</strong>.<br/><br/>Посмотреть на остальные десерты <strong>Вкус искусства</strong> можно в <a href=""https://www.instagram.com/tasteofart_spb/"">их Instagram</a> 🍰<br/>Приходить и пробовать - по адресу <em>Суворовский пр., 15</em><br/><br/><a href="""" onclick='return ShowHashtag(""Площадь_Восстания"")'>#Площадь_Восстания</a> <a href="""" onclick='return ShowHashtag(""авторская_кухня"")'>#авторская_кухня</a>",https://go.2gis.com/3AgxQ,https://vkusiskusstva.ru/,,,,,,,,396/photos/photo_121@01-10-2020_20-38-18.jpg,396/photos/photo_122@01-10-2020_20-38-18.jpg,396/photos/photo_123@01-10-2020_20-38-18.jpg,396/photos/photo_124@01-10-2020_20-38-18.jpg,,,,,,,,,,,,#авторская_кухня,#площадь_восстания,,,,,Вкус искусства,4.6,800 ₽
418,https://t.me/vkusnypiter/418,"Пять углов заиграли новыми красками. А все потому, что там появился суши и рамен бар <strong>Bomu</strong>!<br/><br/>Чтобы прочувствовать атмосферность этого места, рекомендую заглядывать вечером, когда на улице уже стемнело, а оформление кафе заиграло в полную силу. Стильные неоновые вывески, бумажные люстры и японские растяжки, светящийся Манэки-нэко (имя того самого котика, который машет лапкой - согласно японской культуре, он приносит владельцу удачу) - это все создает ощущение, будто вы перенеслись в самое сердце Японии.<br/><br/>Добрались до самого интересного: что поесть? Ради ответа на этот вопрос мы постарались охватить каждый раздел меню. Например, добротная порция классического рамена (330₽) приготовлена настолько вкусно, что вы захотите бросить всё и принять буддизм; жареные пельмешки гёдза с курицей (280₽ за 5 шт.) пришлись очень кстати; роллы все классические, но с хорошо проваренным рисом - можно брать любой по вкусу и не бояться.<br/><br/>Отдельное внимание хочу обратить на два блюда. Первое - темаки роллы с креветкой/угрем (190/220₽), которые стали моими любимчиками. Это когда ты ожидаешь малыша а-ля нигири, а выносят увесистый кулек из нори и обилием начинки внутри. Второе - рисовый сэндвич. Увы, ничего про него не расскажу, т.к не пробовали, но выглядит он фантастически аппетитно. Обязательно спросите про него, когда заглянете в гости.<br/><br/>Рассмотреть блюда можно на моих фотографиях.<br/>Пробовать обязательно в <strong>Bomu.<br/><br/></strong>👉 <em>А чтобы было совсем хорошо, читателям канала по промокоду Вкусный Питер скидка 10% до конца года.<br/><br/></em>〰️ Ул. Ломоносова, 26<br/>〰️ +7 (921) 305-21-00<br/>〰️ <a href=""https://www.instagram.com/bomu.jp/"">Суши-бар Bomu</a> в Instagram<br/><br/><a href="""" onclick='return ShowHashtag(""Достоевская"")'>#Достоевская</a> <a href="""" onclick='return ShowHashtag(""Владимирская"")'>#Владимирская</a> <a href="""" onclick='return ShowHashtag(""Звенигородская"")'>#Звенигородская</a> <a href="""" onclick='return ShowHashtag(""азиатская_кухня"")'>#азиатская_кухня</a>",https://go.2gis.com/IUbgp,https://bomu.jp/,,,,,,,,418/photos/photo_136@29-10-2020_00-09-38.jpg,418/photos/photo_137@29-10-2020_00-09-38.jpg,418/photos/photo_138@29-10-2020_00-09-38.jpg,418/photos/photo_139@29-10-2020_00-09-38.jpg,418/photos/photo_140@29-10-2020_00-09-38.jpg,418/photos/photo_141@29-10-2020_00-09-38.jpg,418/photos/photo_142@29-10-2020_00-09-38.jpg,418/photos/photo_143@29-10-2020_00-09-38.jpg,,,,,,,,#азиатская_кухня,#владимирская,#достоевская,#звенигородская,,,Bomu Sushi&Ramen,4.8,750
480,https://t.me/vkusnypiter/480,"В первой половине уходящего десятилетия бургеры плотно ассоциировались с фастфудом. Произошел настоящий бум, а в 2015 году их не продавал только ленивый. Со временем люди стали интересоваться новыми блюдами, и популярность бургеров пошла на спад.<br/><br/>Я люблю бургеры, но в этом году перевес был на стороне других блюд. Под конец года я решил это исправить и заглянуть в <strong>Бюро</strong>. Как же приятно было увидеть, что авторская кухня не обошла бургеры стороной.<br/><br/>Недавно в сети <strong>Бюро</strong> как раз появилось несколько новых бургеров, которые нам с Дашей посоветовали попробовать. Один был с тыквенным вареньем и козьим сыром (390/490₽), а другой - скандинавский с брусничным вареньем и карамелизированным луком (380/480₽). В <strong>Бюро</strong> можно выбирать из 6 разных булочек: сырная к моему сырному бургеру показалась наиболее уместной. Мне понравилось, как тыквенное варенье вписалось в общую палитру вкусов и дополняло ее. Это два образцовых бургера, где чувствовался вкус каждого ингредиента, а не мешанина из всего, что под руку попалось.<br/><br/>Еще мы заказали сырный суп с хрустящим беконом (250₽) и томленую говядину с пюре и вишневым соусом (450₽). Зацепило необычное сочетание говядины и вишневого соуса: нежная говядина тает в рту, а вишневый соус добавляет кислинки. Сырный суп просто моя любовь на все времена!<br/><br/>Запивать решили домашним лимонадом грейпфрут-базилик. 400₽ за литр этой вкуснятины вообще не жалко.<br/><br/>〰️ Рыбацкая ул., 4<br/>〰️ +7 (812) 939-12-98<br/>〰️ <a href=""https://www.instagram.com/bureauburgers/"">Бюро</a> в Instagram<br/><br/><a href="""" onclick='return ShowHashtag(""Чкаловская"")'>#Чкаловская</a> <a href="""" onclick='return ShowHashtag(""Спортивная"")'>#Спортивная</a> <a href="""" onclick='return ShowHashtag(""американская_кухня"")'>#американская_кухня</a>",https://go.2gis.com/wKdWh,https://barbureau.ru/,,,,,,,,480/photos/photo_187@18-12-2020_23-03-14.jpg,480/photos/photo_188@18-12-2020_23-03-14.jpg,480/photos/photo_189@18-12-2020_23-03-14.jpg,480/photos/photo_190@18-12-2020_23-03-14.jpg,480/photos/photo_191@18-12-2020_23-03-15.jpg,480/photos/photo_192@18-12-2020_23-03-15.jpg,480/photos/photo_193@18-12-2020_23-03-15.jpg,480/photos/photo_194@18-12-2020_23-03-15.jpg,,,,,,,,#американская_кухня,#спортивная,#чкаловская,,,,Бюро,4.5,1200
494,https://t.me/vkusnypiter/494,"Первый пост в новом году будет про мое любимое заведение - <strong>Чердак</strong>. Мы с Дашей часто сюда ходим и каждый раз удивляемся как тут хорошо. Кухня без изысков и фирменной подачи, но каждое блюдо настолько вкусно приготовлено, что само по себе становится эталонным.<br/><br/>Мы ходили сюда несколько раз и каждый из них пробовали разные блюда. Я напишу только про те, которые остались на моих фотографиях:<br/>- борщ с тертым салом (285₽). Даша часто заказывает этот суп в других кафе, но еще нигде нам не подавали его с салом. На вкус ощущается максимально по-домашнему: горячий борщ, сметанка с укропчиком и сало с хлебом.<br/>- салат с теплым цыпленком (285₽). Выглядит как обычный овощной салат. Ключевую роль тут играет медово-бальзамическая заправка и нежная курочка в хрустящей панировке.<br/>- сковорода с овощами и курицей (375₽). Из овощей здесь брокколи, цветная капуста, болгарский перец. Сверху они обильно покрыты сыром, сливками и песто. Очень даже в стиле ПП 🙃<br/>- тальятелле с томатами и креветками (395₽). Блюдо на все времена. Креветок в достатке, сыра много, сама паста приготовлена как полагается.<br/><br/>Пробовали и закуски. В больших количествах. Опять же, такие простые и такие вкусные:<br/>- креветки в хрустящей панировке (345₽). Их подают с пикантным тайским соусом. Та закуска, которой всегда мало.<br/>- брускетта с авокадо (195₽). Свежая зелень в сочетании с нарезанным авокадо. Подаются по две штучки.<br/>- чесночные гренки с тертым сыром (125₽). Образцовые! В меру хрустящие, но и не резиновые. Соус предлагают брать по вкусу: томатный, тартар или сырный.<br/><br/>А теперь самое интересное. <strong>Чердак</strong> это одно из немногих мест, куда мы ходим без машины. Во всем виноваты коктейли!<br/>Имбирный Евгеша (395₽) с ромом на чернике и ягодами; Печенюшка (395₽) в классной ретро-кружке, который на вкус как крем-сода; даже Кровавая Маша (245₽), которая на самом деле Мэри, хороша!<br/>Настойки лимоновки и джина на смородине вообще отдельная песня. На них даже есть акции 3+1 и 4+1.<br/>Ну и куда же без пива. Помимо традиционных разливных сортов нашел для себя тропико-молочную IPA под названием Milk of Amnesia (200₽ за 0.5). <br/><br/>Вот и получается: что ни закажи, все сделают вкусно. Ну как про таких лапочек не написать? 😇<br/><br/>〰️ Ул. Куйбышева, 38/40<br/>〰️ +7 (812) 232-11-82<br/>〰️ <a href=""https://www.instagram.com/cherdak_cafe/"">Чердак</a> в Instagram<br/><br/><a href="""" onclick='return ShowHashtag(""Горьковская"")'>#Горьковская</a> <a href="""" onclick='return ShowHashtag(""Площадь_Ленина"")'>#Площадь_Ленина</a> <a href="""" onclick='return ShowHashtag(""европейская_кухня"")'>#европейская_кухня</a>",https://go.2gis.com/y09FF,https://cafecherdak.ru/,,,,,,,,494/photos/photo_197@08-01-2021_22-39-37.jpg,494/photos/photo_198@08-01-2021_22-39-37.jpg,494/photos/photo_199@08-01-2021_22-39-37.jpg,494/photos/photo_200@08-01-2021_22-39-37.jpg,494/photos/photo_201@08-01-2021_22-39-37.jpg,494/photos/photo_202@08-01-2021_22-39-37.jpg,494/photos/photo_203@08-01-2021_22-39-37.jpg,494/photos/photo_204@08-01-2021_22-39-37.jpg,494/photos/photo_205@08-01-2021_22-39-37.jpg,494/photos/photo_206@08-01-2021_22-39-37.jpg,,,,,,#горьковская,#европейская_кухня,#площадь_ленина,,,,Чердак,4.8,900
536,https://t.me/vkusnypiter/536,"«Антон Павлович Чехов ел чрезвычайно мало и не любил сидеть за столом. [мать] Евгения Яковлевна говорила тихонько, с беспокойной тоской в голосе: А Антоша опять ничего не ел за обедом». А вот уйти голодным из ресторана <strong>Чеховъ</strong> не удастся никому. <br/><br/>Войдя внутрь, оказываешься на даче XIX века. В зале стоят дубовые шкафы с домашними соленьями, старинный патефон и белое пианино. У окна в дальнем конце ресторана живут канарейки. Атмосферу создают кружевные салфеточки, лежащие на столах, старинное зеркало под потолком и официанты в костюмах тех времен.<br/><br/>«Нет ничего лучше как в морозный январский денёк отведать борщок из свеклы на хохлацкий манер, с ветчинкой и с сосисками""» © Чехов А. П.<br/>Мы решили прислушаться к совету и заказали борщ с говядиной и уткой (450₽). Сытный, ароматный суп подают со сметаной, луком, нарезанным салом и гренками из бородинского хлеба.<br/><br/>«...мне за 30 коп. подают здоровеннейшую, больше, чем самый большой шиньон, порцию ростбифа, который с одинаковым правом может быть назван и ростбифом, и отбивной котлетой, и бифштексом, и мясной подушечкой…» © Чехов А. П.<br/>Такого описания заслуживают телячьи щечки с пюре (590₽). Нежнейшее мясо в густом соусе с овощами и пряностями. Его обязательно стоит попробовать!<br/><br/>Обед без десерта Антон Павлович не признавал. Последовав принципам писателя, на сладкое мы взяли пирожное из темного и белого шоколада (350₽). Свежая клубника и сливочный соус с корицей были идеальным его дополнением. Запивали освежающими домашними лимонадами: брусничный с имбирем и фруктами и облепиховый с мятой и свежим соком цитрусовых. Оба по 290₽.<br/><br/>В завершение, слово А. П. Чехову: «Кто не придает должного значения питанию, не может считаться по-настоящему интеллигентным человеком».<br/><br/>〰️ Ул. Петропавловская, 4<br/>〰️ +7 (812) 234-45-11<br/>〰️ <a href=""https://www.instagram.com/chekhov_rest/"">Чеховъ</a> в Instagram<br/><br/><a href="""" onclick='return ShowHashtag(""Петроградская"")'>#Петроградская</a> <a href="""" onclick='return ShowHashtag(""Горьковская"")'>#Горьковская</a> <a href="""" onclick='return ShowHashtag(""русская_кухня"")'>#русская_кухня</a>",https://go.2gis.com/QNRl3,https://restaurant-chekhov.ru/,,,,,,,,536/photos/photo_230@31-01-2021_17-30-16.jpg,536/photos/photo_231@31-01-2021_17-30-16.jpg,536/photos/photo_232@31-01-2021_17-30-16.jpg,536/photos/photo_233@31-01-2021_17-30-17.jpg,536/photos/photo_234@31-01-2021_17-30-17.jpg,536/photos/photo_235@31-01-2021_17-30-17.jpg,536/photos/photo_236@31-01-2021_17-30-17.jpg,536/photos/photo_237@31-01-2021_17-30-17.jpg,536/photos/photo_238@31-01-2021_17-30-17.jpg,,,,,,,#горьковская,#петроградская,#русская_кухня,,,,Чеховъ,4.6,2000
628,https://t.me/vkusnypiter/628,"Островок наслаждения с грузинской кухней в Пушкине - <strong>Мимино</strong>.<br/><br/>Я всегда считал, что за пределами Петербурга беда с ресторанами. Мои опасения подтверждали Кронштадт, Сестрорецк, Выборг. Возможно, я редко там бываю, но, в любом случае, скажу: как же приятно было ошибиться на счёт Пушкина!<br/><br/>Волей судьбы мы с Дашей оказались в этом живописном городе и решили задержаться на перекус. И вот, ода нашему грузинскому герою - <strong>Мимино</strong>. Я уж и забыл, насколько сильно люблю грузинскую кухню. Сразу нюанс: бронировать место надо в 99.99 % случаев - не пренебрегайте звонком в ресторан. При нас развернули с десяток людей.<br/><br/>На что обратить внимание, если вам удалось занять место:<br/>— салат из овощей с адыгейским сыром (380₽) - помидорки, кинза, листья салата, красный лук и много кубиков адыгейского сыра. <br/>— цыцыла с овощами (530₽) - куриное филе, запечённое в мацони с овощами и зеленью. Обилие сыра и нежное куриное филе завоевали первое место среди всех заказанных блюд.<br/>— оджахури (470₽) - жареная картошечка, свинина, паприка, лук и все это под специями. Блюдо вкусное и сытное, но из-за жирной свинины кажется тяжелым.<br/><br/>В нашем заказе был хачапури с тархуном и шпинатом (430₽). Начинки практически не было, а где виднелась - почти не чувствовалась. Как знал, что надо было классику брать - лодочка с яйцом и сыром сулугуни никогда меня не подводила.<br/><br/>Дисклеймер: ребята, пригороды Петербурга крутые и я очень их люблю. Ни в коем случае не хотел обидеть кафе, которые расположены там. Поэтому давайте так: напишите в комментариях своё любимое место за пределами Петербурга, а я постараюсь туда выбраться и написать про него 🤗<br/><br/>〰️ Пушкин, Конюшенная ул., 39<br/>〰️ +7 (812) 678-98-93<br/>〰️ <a href=""https://www.instagram.com/mimino.pushkin/"">Мимино</a> в Instagram<br/><br/><a href="""" onclick='return ShowHashtag(""За_городом"")'>#За_городом</a> <a href="""" onclick='return ShowHashtag(""грузинская_кухня"")'>#грузинская_кухня</a>",https://go.2gis.com/RHo8O,https://restoranmimino.ru/,,,,,,,,628/photos/photo_304@09-05-2021_17-13-18.jpg,628/photos/photo_305@09-05-2021_17-13-18.jpg,628/photos/photo_306@09-05-2021_17-13-18.jpg,628/photos/photo_307@09-05-2021_17-13-18.jpg,628/photos/photo_308@09-05-2021_17-13-18.jpg,628/photos/photo_309@09-05-2021_17-13-18.jpg,,,,,,,,,,#грузинская_кухня,#за_городом,,,,,Мимино,4.3,1500
658,https://t.me/vkusnypiter/658,"После <a href=""https://t.me/vkusnypiter/628"">сообщения</a> про <strong>Мимино</strong> в Пушкине, мне в личные сообщения поступило много вопросов о других пригородах Петербурга. Особым спросом пользовался Выборг, поэтому мы с Дашей решили отправиться туда и найти место, где вкусно поесть. Сегодня расскажем о ресторане <strong>Камелот</strong> в Старом городе, который находится в минуте ходьбы от Рыночной площади.<br/><br/>Мы брали:<br/>- Экзотический рай (500₽) - отличное сочетание угря в соусе терияки, твердого сыра и овощей под манговой заправкой. Рекомендую этот салат ради экзотической заправки и нежной рыбки.<br/>- Скандинавия (300₽) - легкий сливочный суп с филе лосося. Любителям первых блюд однозначно понравится.<br/>- Трофей короля Артура (500₽) - горячее блюдо, которое включает в себя котлетки из лося, картофель по-деревенски и томатный соус бордолез. В нем прекрасно все: от фарша лося до посыпки на картошке айдахо.<br/>- Шоколадный муале (300₽) - оторваться от него было очень сложно! Аппетитный кофейный бисквит с горячим бельгийским шоколадом внутри и шариком ванильного мороженого - за таким десертом готовы вернуться еще раз.<br/><br/>За вкусную еду в туристической локации однозначно лайк 👍<br/><br/>〰️ Выборг, Красноармейская ул., 14<br/>〰️ +7 (953) 360-61-92<br/>〰️ <a href=""https://www.instagram.com/kamelot_vyborg/"">Камелот</a> в Instagram<br/><br/><a href="""" onclick='return ShowHashtag(""За_городом"")'>#За_городом</a> <a href="""" onclick='return ShowHashtag(""европейская_кухня"")'>#европейская_кухня</a>",https://go.2gis.com/DG4xU,https://kamelot-vyborg.com/,,,,,,,,658/photos/photo_325@06-06-2021_22-05-47.jpg,658/photos/photo_326@06-06-2021_22-05-47.jpg,658/photos/photo_327@06-06-2021_22-05-47.jpg,,,,,,,,,,,,,#европейская_кухня,#за_городом,,,,,Камелот,4.6,1500
663,https://t.me/vkusnypiter/663,"Рассказываю про эталонную лапшичную <strong>Ossu</strong> на Некрасова.<br/><br/>Ценители помпезных интерьеров могут листать дальше: здесь на стенах отколовшаяся плитка, видна кирпичная кладка и местами ее прикрывают железные балки. И это даже плюс! Аутентичность за счёт такого решения выкручивается на 100.<br/><br/>По еде все совсем хорошо. Местная лапша западает в сердечко и размером порции, и объемом начинки в ней, и качеством.<br/><br/>Что брали:<br/>- лапшу с вешенками и сыром тофу (290₽)<br/>- лапшу с жареным кальмаром (320₽)<br/>- кацу-сэндвич с цыплёнком (250₽)<br/>- вкуснейший лимонад lapochka с грейпфрутом и лимоном (230₽)<br/><br/>Отдельно пару слов про сэндвич. Я долго не решался его взять, но в итоге заказал и не пожалел. И вам тоже настоятельно рекомендую его попробовать. Воздушная булочка, цыплёнок в хрустящей панировке и нежный соус влюбляют с первого укуса.<br/><br/>Лимонад тоже отличный, хоть и баночный. Пожалуй, самый вкусный из всех, что мне доводилось пить (среди подаваемых в банке/бутылке).<br/><br/>〰️ Ул. Некрасова, 21<br/>〰️ +7 (904) 635-23-64<br/>〰️ <a href=""https://www.instagram.com/ossu.eatery/"">Ossu</a> в Instagram<br/><br/><a href="""" onclick='return ShowHashtag(""Площадь_Восстания"")'>#Площадь_Восстания</a> <a href="""" onclick='return ShowHashtag(""Маяковская"")'>#Маяковская</a> <a href="""" onclick='return ShowHashtag(""азиатская_кухня"")'>#азиатская_кухня</a>",https://go.2gis.com/TddG7,,,,,,,,,663/photos/photo_328@08-06-2021_19-19-02.jpg,663/photos/photo_329@08-06-2021_19-19-02.jpg,663/photos/photo_330@08-06-2021_19-19-02.jpg,663/photos/photo_331@08-06-2021_19-19-02.jpg,663/photos/photo_332@08-06-2021_19-19-02.jpg,663/photos/photo_333@08-06-2021_19-19-03.jpg,,,,,,,,,,#азиатская_кухня,#маяковская,#площадь_восстания,,,,Ossu,4.8,1300
714,https://t.me/vkusnypiter/714,"Сегодня расскажу про невероятные хот-доги от <strong>Oh, My Dog!</strong>, которые производят неизгладимое впечатление.<br/><br/>Мы с Дашей нашли этих ребят, когда они были корнером в Сити Молле. Сейчас у них появился свой фуд-трак в Гостином дворе и я очень рад, что <strong>Oh, My Dog! </strong>потихонечку обрастает точками по городу - хороших хот-догов должно быть много!<br/><br/>Как сейчас помню: в меню 10 позиций, но выбрать хот-дог от этого легче не становилось. Фэйк краб (250₽), сырный пепперони (250₽), рашн лимитед эдишн (290₽), чикен-карри (290₽) - ну что за названия! Слюнки так и текут.<br/><br/>После долгих раздумий, решил взять их самый сытный хот-дог под названием справжній український (290₽). Свино-говяжья колбаска с жареной картошкой и яйцом, шкварками из бекона, горчичным соусом, луком и зеленью на внушительных размеров булочке.  <br/><br/>Для полноты картины мы взяли к нему картофель фри (150₽) и нежный сырный соус (30₽). Это был лучший картофель фри, что мне доводилось пробовать, серьезно!<br/><br/>Запивали таким же вкусным лимонадом, как и все в меню <strong>Oh, My Dog!</strong>. Брали клубнику-базилик (170₽ / 0.4). Приятный освежающий лимонад с небольшой кислинкой.<br/><br/>Расскажите, как вы вообще относитесь с хот-догам? Делитесь в комментариях своими любимыми хотдожными.<br/><br/>〰️ Коломяжский пр., 17к2<br/>〰️ <a href=""https://instagram.com/ohmydog.fanclub"">Oh, My Dog</a>! в Instagram<br/><br/><a href="""" onclick='return ShowHashtag(""Пионерская"")'>#Пионерская</a> <a href="""" onclick='return ShowHashtag(""американская_кухня"")'>#американская_кухня</a>",https://go.2gis.com/GELX6,https://хот-доги.com/,,,,,,,,714/photos/photo_362@17-08-2021_17-19-39.jpg,714/photos/photo_363@17-08-2021_17-19-40.jpg,714/photos/photo_364@17-08-2021_17-19-40.jpg,714/photos/photo_365@17-08-2021_17-19-40.jpg,714/photos/photo_366@17-08-2021_17-19-40.jpg,714/photos/photo_367@17-08-2021_17-19-40.jpg,,,,,,,,,,#американская_кухня,#пионерская,,,,,Oh My Dog!,3.3,700
737,https://t.me/vkusnypiter/737,"Как только мы с Дашей сняли квартиру, первое, что сделали, это пошли искать, где вкусно поесть рядом с новым домом. Так мы нашли <strong>Челлентани</strong> - уютный ресторанчик с акцентом на итальянских блюдах.<br/><br/>Место подкупает зеленью повсюду и милыми полочками со всякой всячиной: от пустых винных бутылок и картинок в рамках до ручных поделок и стильно расписанной статуи.<br/><br/>Нас привлекла паста тортильони с курицей и песто (350 ₽). Звучит хорошо, стоит тоже адекватно, но вот количество куриного филе оставляет желать лучшего. На фото порция разделена на две тарелки.<br/>Из пицц взяли с лососем и сливочным сыром (420 ₽). Здесь с количеством лосося все в порядке, на каждом из кусочков он присутствует. Однако же сам вкус пиццы показался недостаточно ярким, в нем явно не хватало то ли специй, то ли рыбки копченой, то ли руколы. Пиццу с такой начинкой <a href=""https://t.me/vkusnypiter/411"">мы ели в Pret</a> и теперь судим по ней, как по эталонной.<br/><br/>Авторские лимонады тут хороши! За литр берут 600 ₽, на выбор предлагают 4 вкуса: цитрус, облепиха и розмарин, «кукумбер» (огуречный) и «вери берри айс ти (ягодный) - мы взяли последний и остались довольны. Если ищете вариант «что-то кисленькое», это оно. <br/><br/>В целом, как локальный ресторан в спальном районе, очень даже хорошо!<br/><br/>👉 Скидка 10 % на самовывоз.<br/><br/>〰️ Комендантский пр., 58к1<br/>〰️ +7 (921) 952-68-77<br/>〰️ <a href=""https://instagram.com/cellentani.rest"">Челлентани</a> в Instagram<br/><br/><a href="""" onclick='return ShowHashtag(""Комендантский_проспект"")'>#Комендантский_проспект</a> <a href="""" onclick='return ShowHashtag(""итальянская_кухня"")'>#итальянская_кухня</a>",https://go.2gis.com/QOJQi,https://cellentani.ru/,,,,,,,,737/photos/photo_380@13-09-2021_23-29-48.jpg,737/photos/photo_381@13-09-2021_23-29-48.jpg,737/photos/photo_382@13-09-2021_23-29-48.jpg,737/photos/photo_383@13-09-2021_23-29-48.jpg,737/photos/photo_384@13-09-2021_23-29-48.jpg,737/photos/photo_385@13-09-2021_23-29-48.jpg,,,,,,,,,,#итальянская_кухня,#комендантский_проспект,,,,,Челлентани,4.8,1000
